timestamp,iat,src_ip,dst_ip,src_port,dst_port,length,ip_proto,highest_layer,tcp_flag_fin,tcp_flag_syn,tcp_flag_rst,tcp_flag_psh,tcp_flag_ack,tcp_flag_urg,tcp_flag_ece,tcp_flag_cwr
1725000000.0,0.03125477333023335,192.168.1.10,142.250.76.206,47830,21,1478,6,FTP,1,1,0,1,0,0,0,0
1725000000.01,0.04486069004847878,10.0.0.5,142.250.76.206,55953,21,434,6,HTTP,1,1,1,1,0,1,0,0
1725000000.02,0.03878428451225968,192.168.1.10,8.8.8.8,62412,25,393,6,TLS,1,0,0,0,0,1,0,1
1725000000.03,0.011260359499529594,192.168.1.10,8.8.8.8,49763,25,900,17,UDP,0,1,1,1,0,1,1,0
1725000000.04,0.015008314245561273,10.0.0.5,142.250.76.206,6923,443,1115,6,HTTP,0,1,0,0,0,0,0,1
1725000000.05,0.043677672269813096,10.0.0.5,8.8.8.8,22743,21,1431,17,DNS,0,0,0,1,1,0,1,1
1725000000.06,0.00026326522827873624,10.0.0.5,142.250.76.206,35095,21,1130,6,FTP,0,0,0,0,0,0,1,1
1725000000.07,0.041061420919138315,10.0.0.5,8.8.8.8,6023,443,1236,6,SMTP,1,0,1,0,1,1,1,1
1725000000.08,0.03985347143760232,192.168.1.10,8.8.8.8,28003,21,1380,17,TCP,1,0,1,1,1,0,0,1
1725000000.09,0.02339674764218604,10.0.0.5,8.8.8.8,9553,80,982,17,SMTP,0,0,1,0,0,1,0,0
1725000000.1,0.015151621340965676,192.168.1.10,142.250.76.206,36763,443,931,6,SMTP,0,1,1,0,0,0,0,1
1725000000.11,0.013921280605038666,192.168.1.10,142.250.76.206,12911,443,807,6,SMTP,1,0,0,0,0,0,1,0
1725000000.12,0.01274347938270623,192.168.1.10,142.250.76.206,18510,8000,355,17,TLS,0,1,0,1,0,0,0,1
1725000000.13,0.02225381529413233,192.168.1.10,8.8.8.8,20630,80,81,17,TLS,0,1,0,0,1,1,0,1
1725000000.14,0.025227412947897668,192.168.1.10,142.250.76.206,63807,8000,236,17,UDP,0,1,1,0,0,1,0,1
